
--- [START Swin] ----------------------------------------------------------------


** dataset setting **
fold = 2
train_dataset : 
	len = 263
                  kidney  78 (0.297) 
                prostate  65 (0.247) 
          largeintestine  44 (0.167) 
                  spleen  43 (0.163) 
                    lung  33 (0.125) 

valid_dataset : 
	len = 88
                  kidney  21 (0.239) 
                prostate  28 (0.318) 
          largeintestine  14 (0.159) 
                  spleen  10 (0.114) 
                    lung  15 (0.170) 


** net setting **
	initial_checkpoint = None

optimizer
  AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 5e-05
    maximize: False
    weight_decay: 0.01
)

** start training here! **
   batch_size = 4 
                     |-------------- VALID---------|---- TRAIN/BATCH ----------------
rate     iter  epoch | dice   loss   tp     tn     | loss           | time           
-------------------------------------------------------------------------------------
0.00e+0   00000000*   0.00 | 0.176  1.025  0.0000  0.000   | 0.000  0.000   | 12.431555032730103 End
5.00e-5   00000100*   1.54 | 0.380  0.576  0.0000  0.000   | 0.012  0.008   | 68.12377333641052 End
5.00e-5   00000200*   3.08 | 0.484  0.309  0.0000  0.000   | 0.006  0.006   | 127.57721328735352 End
5.00e-5   00000300*   4.62 | 0.395  0.257  0.0000  0.000   | 0.004  0.005   | 183.65066814422607 End
5.00e-5   00000400*   6.15 | 0.568  0.251  0.0000  0.000   | 0.003  0.003   | 241.42521691322327 End
5.00e-5   00000500*   7.69 | 0.506  0.194  0.0000  0.000   | 0.004  0.005   | 297.7245213985443 End
5.00e-5   00000600*   9.23 | 0.590  0.183  0.0000  0.000   | 0.003  0.004   | 357.0718958377838 End
5.00e-5   00000700*  10.77 | 0.598  0.173  0.0000  0.000   | 0.003  0.004   | 413.61662888526917 End
5.00e-5   00000800*  12.31 | 0.647  0.168  0.0000  0.000   | 0.003  0.003   | 472.1382920742035 End
5.00e-5   00000900*  13.85 | 0.634  0.161  0.0000  0.000   | 0.002  0.002   | 528.3456192016602 End
5.00e-5   00001000*  15.38 | 0.659  0.163  0.0000  0.000   | 0.003  0.003   | 589.9614987373352 End
5.00e-5   00001100*  16.92 | 0.640  0.149  0.0000  0.000   | 0.004  0.003   | 646.6007196903229 End
5.00e-5   00001200*  18.46 | 0.648  0.143  0.0000  0.000   | 0.002  0.002   | 705.2120599746704 End
5.00e-5   00001300*  20.00 | 0.663  0.167  0.0000  0.000   | 0.002  0.002   | 764.9127917289734 End
5.00e-5   00001400*  21.54 | 0.665  0.143  0.0000  0.000   | 0.002  0.001   | 821.2167901992798 End
5.00e-5   00001500*  23.08 | 0.663  0.188  0.0000  0.000   | 0.002  0.002   | 879.3289856910706 End
5.00e-5   00001600*  24.62 | 0.634  0.137  0.0000  0.000   | 0.002  0.003   | 936.2658061981201 End
5.00e-5   00001700*  26.15 | 0.664  0.126  0.0000  0.000   | 0.003  0.003   | 994.9753904342651 End
5.00e-5   00001800*  27.69 | 0.651  0.127  0.0000  0.000   | 0.002  0.002   | 1051.2425577640533 End
5.00e-5   00001900*  29.23 | 0.631  0.125  0.0000  0.000   | 0.002  0.003   | 1109.8375310897827 End
5.00e-5   00002000*  30.77 | 0.644  0.128  0.0000  0.000   | 0.001  0.001   | 1169.084531545639 End
5.00e-5   00002100*  32.31 | 0.674  0.134  0.0000  0.000   | 0.001  0.001   | 1228.1505842208862 End
5.00e-5   00002200*  33.85 | 0.650  0.120  0.0000  0.000   | 0.001  0.001   | 1286.208706855774 End
5.00e-5   00002300*  35.38 | 0.681  0.118  0.0000  0.000   | 0.002  0.002   | 1344.9135029315948 End
