
--- [START Swin] ----------------------------------------------------------------


** dataset setting **
fold = 3
train_dataset : 
	len = 264
                  kidney  77 (0.292) 
                prostate  70 (0.265) 
          largeintestine  41 (0.155) 
                  spleen  38 (0.144) 
                    lung  38 (0.144) 

valid_dataset : 
	len = 87
                  kidney  22 (0.253) 
                prostate  23 (0.264) 
          largeintestine  17 (0.195) 
                  spleen  15 (0.172) 
                    lung  10 (0.115) 


** net setting **
	initial_checkpoint = None

optimizer
  AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-08
    foreach: None
    lr: 5e-05
    maximize: False
    weight_decay: 0.01
)

** start training here! **
   batch_size = 4 
                     |-------------- VALID---------|---- TRAIN/BATCH ----------------
rate     iter  epoch | dice   loss   tp     tn     | loss           | time           
-------------------------------------------------------------------------------------
0.00e+0   00000000*   0.00 | 0.028  0.551  0.0000  0.000   | 0.000  0.000   | 12.126173734664917 End
5.00e-5   00000100*   1.52 | 0.448  0.432  0.0000  0.000   | 0.008  0.008   | 67.27295470237732 End
5.00e-5   00000200*   3.03 | 0.619  0.280  0.0000  0.000   | 0.004  0.005   | 125.7731499671936 End
5.00e-5   00000300*   4.55 | 0.649  0.210  0.0000  0.000   | 0.003  0.004   | 181.12571239471436 End
5.00e-5   00000400*   6.06 | 0.612  0.168  0.0000  0.000   | 0.003  0.003   | 238.51135849952698 End
5.00e-5   00000500*   7.58 | 0.659  0.147  0.0000  0.000   | 0.002  0.003   | 294.2103638648987 End
5.00e-5   00000600*   9.09 | 0.686  0.147  0.0000  0.000   | 0.002  0.002   | 352.5888261795044 End
5.00e-5   00000700*  10.61 | 0.687  0.130  0.0000  0.000   | 0.004  0.004   | 409.0644600391388 End
5.00e-5   00000800*  12.12 | 0.682  0.135  0.0000  0.000   | 0.003  0.003   | 467.67496395111084 End
5.00e-5   00000900*  13.64 | 0.706  0.119  0.0000  0.000   | 0.002  0.002   | 525.2435779571533 End
5.00e-5   00001000*  15.15 | 0.702  0.115  0.0000  0.000   | 0.001  0.002   | 586.7658405303955 End
5.00e-5   00001100*  16.67 | 0.705  0.119  0.0000  0.000   | 0.001  0.001   | 644.615198135376 End
5.00e-5   00001200*  18.18 | 0.707  0.119  0.0000  0.000   | 0.001  0.001   | 703.7979633808136 End
5.00e-5   00001300*  19.70 | 0.710  0.111  0.0000  0.000   | 0.001  0.002   | 761.0413918495178 End
5.00e-5   00001400*  21.21 | 0.681  0.121  0.0000  0.000   | 0.002  0.002   | 820.1488363742828 End
5.00e-5   00001500*  22.73 | 0.718  0.114  0.0000  0.000   | 0.002  0.002   | 876.1878798007965 End
5.00e-5   00001600*  24.24 | 0.711  0.110  0.0000  0.000   | 0.001  0.001   | 933.9279019832611 End
5.00e-5   00001700*  25.76 | 0.719  0.105  0.0000  0.000   | 0.001  0.001   | 990.5010552406311 End
5.00e-5   00001800*  27.27 | 0.727  0.103  0.0000  0.000   | 0.002  0.002   | 1048.5613701343536 End
5.00e-5   00001900*  28.79 | 0.728  0.099  0.0000  0.000   | 0.001  0.001   | 1104.6131145954132 End
5.00e-5   00002000*  30.30 | 0.730  0.104  0.0000  0.000   | 0.001  0.002   | 1165.365958929062 End
5.00e-5   00002100*  31.82 | 0.736  0.103  0.0000  0.000   | 0.002  0.002   | 1221.3884267807007 End
5.00e-5   00002200*  33.33 | 0.746  0.106  0.0000  0.000   | 0.001  0.001   | 1279.5355772972107 End
5.00e-5   00002300*  34.85 | 0.736  0.105  0.0000  0.000   | 0.001  0.002   | 1335.1752552986145 End
